organization_cd,org_cat,org_clas,organization_nm,status,dist_levl,bfy
P00Q2200,P00Q0000,C,"(192X,192M) ART IN ARCHITECTURE AND FINE ARTS DIVISION",,1,2015
P00H0250,P00H0000,F,"(192X,192M) REVENUE OPERATIONS",,1,2015
P02NH141,P02N0000,M,"(192X,192M) 0FC WORKPLACE INITIATIVES",,2,2015
P00H0120,P00H0000,F,"(192X,192M) PLANNING & ADMIN DIV",,1,2015
P072E0K1,P0720000,P07XEXXX,"(192X,192M) OKLAHOMA SERVICE CENTER",,3,2015
P0621500,P0620000,H,"(192X,192M) SUSTAINABILITY BRANCH",,2,2015
P0710009,P0710000,M,"(192X,192M) DISASTER/EMG SUPPORT FEMA",,2,2015
P1025100,P1020000,S,"(192X,192M) R10 RECURRING/UTILITY CONTRACTS",,2,2015
P0641001,P0640000,C,"(192X,192M) CONSTRUCTION ACQUISISTION BRANCH I",,2,2015
P03CC000,P03C0000,C,"(192X,192M) DESIGN & CONSTRUCTION DIVISION - SOUTH BRANCH",,2,2015
P072E0L1,P0720000,P07XEXXX,"(192X,192M)LOUISIANA SERVICE CENTER",,3,2015
P0970002,P0970000,R,"(192X,192M) BROKER BRANCH",,2,2015
P02E0001,P02E0000,M,"(192X,192M) FACILITIES MANAGEMENT & SERVICES DIVISION",,2,2015
P0585171,,S,"(192X,192M) DETROIT FIELD OFFICE",,3,2015
P03CC100,P03C0000,C,"(192X,192M) D&C DIV-NORTH BR-PHILADELPHIA & NEW JERSEY SECT",,2,2015
P082M000,P0820000,S,"(192X,192M) MONTANA/DAKOTAS SER CTR",,2,2015
P087M000,P0870000,S,"(192X,192M) MT/DAK SER CTR-RED",,2,2015
P08TP000,P08T0000,T,"(192X,192M) PORTFOLIO MGMT",,2,2015
P09B0004,P09B0000,G,"(192X,192M) DOCUMENT AND WEB MANAGEMENT BRANCH",,2,2015
P03D0001,P03D0000,D,"(192X,192M) CLIENT SOLUTIONS DIVISION",,2,2015
P1025122,P1020000,S,"(192X,192M) INTERIOR ALASKA PMO",,3,2015
P082W001,P0820000,S,"(192X,192M) WYOMING FIELD OFFICE",,3,2015
P00S1209,P00S0000,M,"(192X,192M) CHILDCARE - PACIFIC RIM",,1,2015
P00D3000,P00D0000,R,"(192X,192M) REAL ESTATE ACQUISITION DIVISION",,1,2015
P1171001,P1170000,R,"(192,192M) REAL ESTATE DELIVERY DIVISION",,2,2015
P092S400,P0920000,S,"(192X,192M) SAN FRANCISCO SC",,2,2015
P0521500,P0521000,S,"(192X,192M) ENERGY CONV BRANCH",,2,2015
P097S400,P0970000,R,"(192X,192M) SAN FRANCISCO SERVICE CTR, SERVICES BR",,3,2015
P0524000,P0520000,S,"(192X,192M) REGIONAL TECHNICAL BRANCH",,2,2015
P1025113,P1020000,S,"(192X,192M) AUBURN PMO",,3,2015
P00G8000,P00G0000,G,"(192X,192M) BUSINESS PROCESS IMPROVEMENT DIVISION",,1,2015
P0742000,P0740001,C,"(192X,192M) PROJECT MANAGEMT BRANCH B",,2,2015
P02Q0001,P02Q0000,E,"(192X,192M) ACQUISITION MANAGEMENT STAFF",,2,2015
P0421200,P0420000,M,"(192X,192M) FACILITY MGMT BR",,2,2015
P087B000,P0870000,G,"(192X,192M) BUSINESS DEVELOPMENT-RED",,2,2015
P08M0001,P08M0000,G,"(192X,192M) INFORMATION OFFICER",,2,2015
P07M0001,P07M0000,E,"(192X,192M) ACQUISITION SERVICES",,2,2015
P00H0132,P00H0000,F,"(192X,192M) STAR",,1,2015
P00H0240,P00H0000,F,"(192X,192M) FINANCIAL OPERATIONS",,1,2015
P037K000,P0370000,R,"(192X,192M) REALTY SERV GROUP - RED",,2,2015
P06T3001,,T,"(192X,192M) REALTY/ASSET/CUSTOMER SERVICE EAST",,2,2015
P0525242,P0520000,S,"(192X,192M) MINNESOTA/WISCONSN LEASING OFFICE",,3,2015
P02G0001,P02G0000,G,"(192X,192M) ORGANIZATION RESOURCES STAFF",,2,2015
P03CA000,P03C0000,C,"(192X,192M) DESIGN & CONSTRUCTION DIVISION - NORTH BRANCH",,2,2015
P111000F,P1110000,C,(192) OFFICE OF PROJECT DELIVERY,,2,2015
P01NH141,,D,"(192X,192M) 0FC WORKPLACE INITIATIVES",,2,2015
P0520001,P0520000,S,"(192X,192M) PROPERTY MANAGMENT DIVISION",,2,2015
P072W0N1,P0720000,P07XWXXX,"(192X,192M) NEW MEXICO SERVICE CENTER",,3,2015
P05T0010,P05T0000,T,"(192X,192M) PORTFOLIO INFORMATION AND VALUATION BRANCH",,2,2015
P11B0001,P11B0000,F,"(192X,192M) BUDGET DIVISION",,2,2015
P1121301,P1120000,M,"(192X,192M) FACILITIES PROJECT MANAGEMENT DIVISION",,2,2015
P1025112,P1020000,S,"(192X,192M) SPOKANE PMO",,3,2015
P0721000,P0720000,M,"(192X,192M) ADMINISTRATIVE & TECHINAL SUPPORT",,2,2015
P0940900,,C,"(192X,192M) LOS ANGELES PROJECT EXECUTIVE BRANCH",,3,2015
P1025128,P1020000,S,"(192X,192M) HATFIELD PMO",,3,2015
P0681002,P0680000,E,(192) EAST ACQUISITION BRANCH,,2,2015
P00A000A,P00A0000,A,"(192X,192M) COMMISSIONER - PBS",,1,2015
P07E6000,P07E0000,R,"(192X,192M) PROJECT DELIVERY BRANCH C (7PRC)",,2,2015
P031G000,P0310000,G,"(192X,192M) ORGANIZATION RESOURCES",,2,2015
P0524005,P0524000,S,"(192X,192M) INDIANA/WISCON/MINN TEAM",,2,2015
P084M000,P0840000,S,"(192X,192M) MT/DAK SER CTR-D&C",,2,2015
P00U0001,P00U0000,T,"(192X,192M) AC REAR PR ASSET MGMT",,1,2015
P0240001,P0240000,C,"(192X,192M) DESIGN AND CONSTRUCTION DIVISION",,2,2015
P0560001,P0560001,N,"(192,442) REGIONAL RECOVERY OFFICE, REGION 5",,2,2015
P00M1102,P00M0000,M,"(192X,192M) NATIONAL GAS ACQUISITION PROGRAM",,1,2015
P084F000,P0840000,C,"(192X,192M) FEE DEVELOPMENT-D&C",,2,2015
P084C000,P0840000,P08XCXXX,"(192X,192M) COLORADO SER CTR-D&C",,2,2015
P00C0005,P00C0000,R,"(192X,192M) ENERGY DELEGATION",,1,2015
P00C0016,P00C0000,R,"(192X,192M) SBA DELEGATION",,1,2015
P00S1210,P00S0000,M,"(192X,192M) CHILDCARE - N. ARTIC",,1,2015
P06P0001,,M,"(192X,192M) PRESIDENTIAL PROTECTION",,2,2015
P0920WTC,P0900WTC,M,"(192X,192M) WORLD TRADE CENTER",,2,2015
P00G4402,P00G0000,G,(192X) PBS IT INFRASTRUCTURE,,1,2015
P0525254,P0520000,S,"(192X,192M) DIRKSEN COURTHOUSE OFFICE",,3,2015
P00M3400,P00M0000,M,"(192X,192M) REIMBURSABLE SERVICES DIVISION",,1,2015
P10B0001,P10B0000,F,"(192X,192M)  BUDGET & FINANCIAL MANAGEMENT DIVISION",,2,2015
P00C0006,P00C0000,R,"(192X,192M) EPA DELEGATION",,1,2015
P00C0014,P00C0000,R,"(192X,192M) OPM DELEGATION",,1,2015
P00C0015,P00C0000,R,"(192X,192M) RRB DELEGATION",,1,2015
P1160001,P1160001,N,"(192,442) REGIONAL RECOVERY OFFICE, REGION 11",,2,2015
P00G44ID,P00G0000,G,(192X) ID - DEPUTY CIO,,1,2015
P0522004,P0522000,S,"(192X,192M) MICHIGAN TEAM",,2,2015
P07E4000,P07E0000,R,"(192X,192M) PROJECT DELIVERY BRANCH A (7PRA)",,2,2015
P0425203,P0420000,S,"(192X,192M) MOBILE, AL FIELD OFFICE",,3,2015
P00Y0010,P00Y0000,C,"(192X,192M) BORDER STATIONS COE",,1,2015
P0,,,LOCAL PROCUREMENT-PHIL,,,2015
P00Y0004,P00Y0000,PY,"(192X,192M) HISTORIC BLDGS & ARTS COE",,1,2015
P037R200,P0370000,G,"(192X,192M) OPER SPPT STAFF - RED",,2,2015
P0860001,P0860001,N,"(192,442) REGIONAL RECOVERY OFFICE, REGION 8",,2,2015
P03C0001,P03C0000,C,"(192X,192M) DESIGN & CONSTRUCTION DIVISION",,2,2015
P00M3300,P00M0000,M,"(192X,192M) OCCUPANCY ADMINISTRATION DIVISION",,1,2015
P1121050,P1120000,M,"(192X,192M) STEAM DISTRIBUTION COMPLEX",,3,2015
P01T0001,P01T0000,T,"(192X,192M) PORTFOLIO MANAGEMENT DIVISION",,2,2015
P0440200,P0440000,C,"(192X,192M) NON-PROSPECTUS MANAGEMENT BRANCH",,2,2015
P0620001,P0620000,M,"(192X,192M) WEST DIRECTOR",,2,2015
P00H0001,P00H0000,F,"(192X,192M) FIN & INF SYS ASST COMMISSIONER",,1,2015
P00M3111,P00M0000,M,"(192X,192M) CHILDCARE - NATIONAL CAPITOL",,1,2015
P0710130,P0710000,M,"(192X,192M) EMERGENCY MGMT AND SECURITY BRANCH A",,2,2015
P031FS00,P0310000,F,"(192X,192M) BUDGET & FINANCIAL MGMT BR-BUSINESS SYSTEMS SECT",,2,2015
P0525161,P0520000,S,"(192X,192M) ANTHONY J. CELEBREZZE BUILDING OFFICE",,3,2015
P0620X00,,M,"(192X,192M) BUILDINGS MGMT INTERNS",,2,2015
P02E0200,P02E0000,M,"(192X,192M) PROCUREMENT AND MEASURES BR",,2,2015
P0570200,P0570000,R,"(192X,192M) WEST REAL ESTATE SERV",,2,2015
P05D0001,P05D0000,R,"(192X,192M) PROJECT MANAGEMENT AND CLIENT SOLUTIONS DIVISION",,2,2015
P032C300,P0320000,S,"(192X,192M) (192X,192M) SO SVC CTR-RICHMOND FIELD OFC",,3,2015
P07250B1,P0720000,S,"(192X,192M) BORDER SERVICE CENTER",,3,2015
P00M1101,P00M0000,M,"(192X,192M) COMPETITIVE ELECTRICITY",,1,2015
P0310009,P0310000,A,"(192X,192M) DISASTER/EMER SUPPORT FEMA",,2,2015
P0625202,P0625200,S,"(192X,192M) ST. LOUIS EAST FIELD OFFICE",,3,2015
P0525166,P0520000,S,"(192X,192M) CLEVELAND COURTHOUSE OFFICE",,3,2015
P0728000,P0720000,M,"(192,442) ENERGY AND SUSTAINABILITY BRANCH",,2,2015
P00Q1700,P00Q0000,C,"(192X,192M) STRATEGIC PROGRAMS AND MEASURES DIVISION",,1,2015
P0726000,P0720000,M,"(192,442) EMERGENCY MANAGEMENT AND SECURITY BRANCH A",,2,2015
P1127001,P1120000,S,"(192,442) DC SERVICES DIVISION",,3,2015
P0522000,P0520000,S,(192) SOUTHERN SERVICE CENTER OPERATIONS DIVISION,,3,2015
P0522001,P0522000,S,"(192X,192M) CHIEF AND STAFF",,2,2015
P1025200,P1020000,S,"(192X,192M) NORTHERN SERVICE CENTER",,3,2015
P00C0021,P00C0000,R,"(192X,192M) USIA DELEGATION",,1,2015
P03QA000,P03C0000,E,"(192X,192M) ACQ MGMT DIV-CNTRCT OPS BR-PA, NJ & DE SECTION",,2,2015
P09T0300,P09T0000,T,"(192X,192M) CAPITAL INVESTMENT BR",,2,2015
P00G4405,P00G0000,G,"(192X,192M) PBS CORPORATE",,1,2015
P05Q0030,P05Q0000,M,"(192X,192M) OPERATIONS AND MAINTENANCE BRANCH",,2,2015
P0940200,P0940000,C,"(192X,192M) SF PROJECT EXEC",,2,2015
P1121209,P1120000,M,"(192X,192M) SECURITY MANAGEMENT",,2,2015
P01P0001,,G,"(192X,192M) PRESIDENT PROTECTION",,2,2015
P00H0150,P00H0000,F,"(192X,192M) INACTIVE IT PROJECTS & PLANNING DIV",,1,2015
P0110101,,TRANSFER,"(192X,192M) TRANSFER PROJECTS",,2,2015
P0240500,P0240000,C,"(192X,192M) CONTRACTS BRANCH",,2,2015
P0270001,P0270000,R,"(192X,192M) REAL ESTATE ACQUISITION DIVISION",,2,2015
P0260001,P0160001,N,"(192,442) REGIONAL RECOVERY OFFICE, REGION 2",,2,2015
P0670101,P0670000,R,"(192X,192M) FEDERAL SERVICES BRANCH",,2,2015
P10M0001,P10M0000,P10JXXXX,"(192X,192M) INFORMATION SYSTEMS MGMT",,2,2015
P10T0001,P10T0000,T,"(192X,192M) PORTFOLIO MANAGEMENT",,2,2015
P1025129,P1020000,S,"(192X,192M) 911 PMO",,3,2015
P00R2300,P00R0000,R,"(192X,192M) CENTER FOR LEASE DELEGATIONS",,1,2015
P0625101,P0620000,S,"(192X,192M) KANSAS CITY N PRPTY MGMT",,3,2015
P0421400,,M,"(192X,192M) CONTRACT BRANCH",,3,2015
P0425101,P0420000,S,"(192X,192M) ATLANTA N. FIELD OFFICE",,3,2015
P1150001,,T,"(192X,192M) DIRECTOR & STAFF",,3,2015
P0525220,P0520000,S,"(192X,192M) SOUTHERN IL/IN SERVICE CENTER",,3,2015
P0270004,P0270000,R,"(192X,192M) ADMIN & TECH SERV BR",,2,2015
P087W000,P0870000,S,"(192X,192M) WY/UT SER CTR-RED",,2,2015
P03X1006,,M,"(192X,192M) FAIRFAX CITY, VA",,2,2015
P04E0002,P04E0000,E,"(192X,192M) ACQUISITION COMPLIANCE BRANCH",,2,2015
P1140003,P1140000,C,"(192X,192M) CONTRACTS DIVISION",,2,2015
P0010009,P0010000,A,"(192X,192M) DISASTER/EMG SUPPORT FEMA",,1,2015
P00C0001,P00C0000,R,"(192X,192M) AGRIC DELEGATION",,1,2015
P0510001,P0510000,A,"(192X,192M,321X) ASST REG ADMIN & STAFF",,2,2015
P0410010,,A,"(192X,192M) MGMT SUPPORT STAFF",,2,2015
P032A000,P0320000,S,"(192X,192M) NORTH SERVICE CENTER",,2,2015
P11T0001,P11T0000,T,"(192X,192M) CAPITAL PLANNING",,2,2015
P092S430,P0920000,S,"(192X,192M) SANSOME OFFICE",,3,2015
P0921100,,M,"(192X,192M) REPAIR AND ALTERATIONS",,2,2015
P032R100,P0320000,G,"(192X,192M) TECH/CONS/PRO DEV",,2,2015
P00C0017,P00C0000,R,"(192X,192M) STATE DELEGATION",,1,2015
P0370001,P0370000,R,"(192X,192M) ACQUISITION MANAGEMENT DIVISION",,2,2015
P00H0210,P00H0000,F,"(192X,192M) CHIEF FINANCIAL OFFICER",,1,2015
P00R1100,P00R0000,R,"(192X,192M) CENTER FOR REAL ESTATE BROKERAGE SERVICES",,1,2015
P02IS001,,D,"(192X,192M) INTEGRATED SOLUTIONS - R2",,2,2015
P092L200,P0920000,S,"(192X,192M) LOS ANGELES SERVICE CENTER",,2,2015
P092L210,P0920000,S,"(192X,192M) LA SER CENT LAGUNA",,3,2015
P0611002,P0610000,E,"(192X,192M) ACQUISITION MANAGEMENT STAFF",,2,2015
P00Q1000,P00Q0000,C,"(192X,192M) ASST COMMISSIONER FOR CONST PROGRAMS",,1,2015
P0140600,,C,"(192X,192M) PROJECT MANAGEMENT BR",,2,2015
P0170002,,R,"(192X,192M) SERVICES AND SUPPORT BR",,2,2015
P111000B,P1110000,F,(192) OFFICE OF CHIEF FINANCIAL OFFICER,,2,2015
P0622201,P0620000,M,"(192X,192M) FACILITIES",,2,2015
P0470005,,R,"(192X,192M) LEASING POLICY & PROGRAM BRANCH",,2,2015
P07250D1,P0720000,S,"(192X,192M) DFW SERVICE CENTER",,3,2015
P0970200,,R,"(192X,192M) REAL ESTATE SVC BR PSC",,2,2015
P0642001,P0640000,C,"(192X,192M) CONSTRUCTION ACQUISISTION BRANCH II",,2,2015
P09NH141,P09N0000,M,"(192X,192M) 0FC WORKPLACE INITIATIVES",,2,2015
P07T1001,P07T1001,T,"(192X,192M) PORTFOLIO MANAGEMENT",,2,2015
P0425402,P0420000,S,"(192X,192M) LOUISVILLE, KY SERVICE CENTER",,3,2015
P092D130,P0920000,S,"(192X,192M) SAN DIEGO FIELD OFFICE",,3,2015
P07R0001,P07R0000,F,"(192X,192M) BUDGET & FINANCIAL MANAGEMENT DIVISION",,2,2015
P0710110,P0710000,D,"(192X,192M) CLIENT SOLUTIONS DIVISION",,2,2015
P11X0001,P11X0000,G,"(192X,192M) BUSINESS MANAGEMENT DIV",,2,2015
P00Q1300,P00Q0000,C,"(192X,192M) FEDERAL BUILDINGS & MODERNIZATION DIVISION",,1,2015
P00M3200,P00M0000,M,"(192X,192M) SMALL PROJECTS DIVISION",,1,2015
P111000A,P1110000,M,(192) OFFICE OF FACILITIES MANAGEMENT AND SERVICES PROGRAM,,2,2015
P07E1000,P07E0000,R,"(192X,192M) PROJECT DELIVERY BRANCH D (7PRD)",,2,2015
P0220X00,,S,"(192X,192M) BUILDINGS MGMT INTERNS",,2,2015
P0525172,P0520000,S,"(192X,192M) BATTLE CREEK OFFICE",,3,2015
P00G2200,P00G0000,G,"(192X,192M) WORKFORCE PLAN MANAGER",,1,2015
P00S1000,P00S0000,M,"(192X,192M) RES & EXPERT SER",,1,2015
P0572000,P0570000,R,"(192X,192M,442) CLIENT DELIVERY TEAM 2 (DHS)",,2,2015
P111000E,P1110000,D,(192) OFFICE OF CLIENT SOLUTIONS,,2,2015
P0870001,,R,"(192X,192M) PROP ACQUTN & REALTY DIR & STF",,2,2015
P07T3000,P07T0000,T,"(192X,192M) APPRAISAL BRANCH",,2,2015
P0920400,P0920000,M,"(192X,192M) SAFETY & ENV MGMT BR",,2,2015
P00M2200,P00M0000,M,"(192X,192M) SECURITY DIVISION",,1,2015
P0725000,P0720000,S,"(192X,192M) SERVICE CENTER OPERATIONS",,2,2015
P07C0001,P07C0000,A,"(192X,192M) EMERGENCY MANAGEMENT & SECURITY DIVISION",,2,2015
P1121201,P1120000,M,"(192X,192M) SERVICE DELIVERY SUPPORT DIV",,2,2015
P0970400,,R,"(192X,192M) REAL ESTATE SVC BR SFSC",,2,2015
P037C300,P0370000,R,"(192X,192M) REAL EST ACQ DIV-SO BR-RICHMOND SECT",,2,2015
P06M0001,P06M0000,G,"(192X,192M) ORGANIZATIONAL RESOURCES DIVISION",,2,2015
P03QK100,P03C0000,E,"(192X,192M) ACQ MGMT DIV-CNTRCT OPS BR-PITTSBURGH SECTION",,2,2015
P084B000,P0840000,G,"(192X,192M) BUSINESS DEVELOPMENT-D&C",,2,2015
P0625102,P0620000,S,"(192X,192M) KANSAS CITY S PRPTY MGMT",,3,2015
P092S410,P0920000,S,"(192X,192M) EAST BAY FIELD OFFICE",,3,2015
P0920001,P0920000,M,"(192X,192M) PM DIR & STF",,2,2015
P087C000,P0870000,S,"(192X,192M) COLORADO SER CTR-RED",,2,2015
P0270300,P0270000,R,"(192X,192M) UPSTATE NEW YORK BRANCH",,2,2015
P0540500,P0540000,C,"(192X,192M) CAPITAL PROJECTS BRANCH 3",,2,2015
P1121101,P1120000,S,"(192X,442,262X) POTOMAC SERVICES DIVISION",,3,2015
P00C0013,P00C0000,R,"(192X,192M) NRC DELEGATION",,1,2015
P082D001,P0820000,S,"(192,442) DFC FIELD OFFICE",,3,2015
P00G44IA,P00G0000,G,(192X) IAG - ENTERPRISE APPS,,1,2015
P0643001,P0640000,C,"(192X,192M) PLANNING AND SUPPORT BRANCH",,2,2015
P03QX100,P03C0000,E,"(192X,192M) ACQ MGT DV-PRGM,PLCY&CMPLNC BR-RG CNTRCT SPT SVC",,2,2015
P00U4000,P00U0000,M,"(192X,192M) BUILDING SECURITY AND POLICY DIVISION",,1,2015
P037C400,P0370000,R,"(192X,192M) REAL EST ACQ DIV-SO BR-CHARLESTON SECT",,2,2015
P084P000,P0840000,M,"(192X,192M) PORTFOLIO MGMT-D&C",,2,2015
P04NH141,P04N0000,M,"(192X,192M) OFC WORKPLACE INITIATIVES",,2,2015
P00D1010,P00D0000,D,"(192X,192M) SENIOR CUSTOMER ADV",,1,2015
P111000I,P1110000,R,(192) OFFICE OF LEASING,,2,2015
P0710160,P0710000,A,"(192,442) INFORMATIONS SERVICES TEAM",,2,2015
P0125100,P0120000,S,"(192X,192M) BOSTON SERVICE CENTER BRANCH",,3,2015
P00Q2100,P00Q0000,C,"(192X,192M) DESIGN EXCELLENCE & ARTS PROGRAM DIVISION",,1,2015
P0646001,P0640000,C,"(192X,192M) PROJECT EXECUTION BRANCH III",,2,2015
P05E0001,P05E0000,E,"(192X,192M) ACQUISITION MANAGEMENT DIVISION",,2,2015
P0421300,P0420000,M,"(192X,192M) SAFETY & ENVIRONMENTAL MGMT",,3,2015
P05T0001,P05T0000,T,"(192X,192M) REAL ESTATE PORTFOLIO MGMT DIVISION",,2,2015
P11E0500,,E,"(192X,192M) CONSTRUCTION BRANCH B",,2,2015
P1000000,,PY,"(192X,192M) PRIOR YEAR ACTIVITIES",,2,2015
P00D2100,P00D0000,D,"(192X,192M) CENTER FOR WORKSPACE DELIVERY",,1,2015
P0525244,P0520000,S,"(192X,192M) FORT SNELLING OFFICE",,3,2015
P00S1600,P00S0000,H,"(192X,192M) SUSTAINABLE DESIGN",,1,2015
P0225100,P0220000,S,"(192X,192M) FED CTR PRPTY MGMT CTR",,3,2015
P00G4410,P00G0000,G,"(192X,192M) ENTERPRISE ARCHITECTURE & PROCESS TECHNOLOGY",,1,2015
P0655205,P0650000,P0650000,"(192X,192M) IOWA PMC",,2,2015
P00L0001,P00L0000,P00L0000,"(192X,192M,992X) FPS DIRECTOR",,1,2015
P10E0001,P10E0000,A,"(192X,192M) CENTRALIZED REGIONAL OFFICE SUPPORT",,2,2015
P082B000,P0820000,G,"(192X,192M) BUSINESS DEVELOPMENT-RPS&S",,2,2015
P00S1400,P00S0000,H,"(192X,192M) WORKPLACE 20/20",,1,2015
P11A000D,P1110000,G,(192) OFFICE OF ORGANIZATIONAL RESOURCES,,2,2015
P0425303,P0420000,S,"(192X,192M) TAMPA, FL SERVICE CENTER",,3,2015
P00S1201,P00S0000,M,"(192X,192M) CHILDCARE - NEW ENGLAND",,1,2015
P00G3000,P00G0000,G,"(192X,192M) WORKFORCE PLAN MANAGER",,1,2015
P0900000,,PY,"(192X,192M) PRIOR YEAR ACTIVITIES",,2,2015
P092D100,P0920000,S,"(192X,192M) SAN DIEGO SERVICE CENTER",,2,2015
P0941100,P0940000,C,"(192X,192M) ARIZONA BORDER STATION PROJECT EXECUTIVE BR",,2,2015
P11T0005,P11T0000,T,"(192X,192M) ASSIGNMENTS DIVISION",,2,2015
P0730101,P0730000,M,"(192X,192M,992X) OPERATIONAL SUPPORT BRANCH",,2,2015
P0570030,P0570000,R,"(192X,192M) CLIENT SERVICES TEAM",,2,2015
P0525251,P0520000,S,"(192X,192M) GREATER CHICAGOLAND LEASING OFFICE",,3,2015
P07250A1,P0720000,S,"(192X,192M) ARK-LA-TX SERVICE CENTER",,3,2015
P032K100,P0320000,S,"(192X,192M) NOR SVC CTR-PITTSBURGH FIELD OFC",,3,2015
P06M1003,P06M0000,G,"(192X,192M) COMMUNICATIONS&INFORMATION TECHNOLOGY BRANCH",,2,2015
P0524004,P0524000,S,"(192X,192M) MICHIGAN TEAM",,2,2015
P0425301,P0420000,S,"(192X,192M) JACKSONVILLE FIELD OFFICE",,3,2015
P0425600,P0420000,S,"(192X,192M) ATLANTA METRO SERVICE CENTER",,3,2015
P0425201,P0420000,S,"(192X,192M) BIRMINGHAM FIELD OFFICE",,3,2015
P05T0020,P05T0000,T,"(192X,192M) ASSET VALUATION AND MEASUREMENT BRANCH",,2,2015
P0910009,P0910000,A,"(192X,192M) DISASTER/EMERGENCY SPPT",,2,2015
P081S000,P0810000,F,"(192X,192M) OPERATIONAL SUPPORT",,2,2015
P00M3110,P00M0000,M,"(192X,192M) CHILDCARE - NORTHWEST ARTIC",,1,2015
P0760001,P0760001,N,"(192,442) REGIONAL RECOVERY OFFICE, REGION 7",,2,2015
P00R2200,P00R0000,R,"(192X,192M) CENTER FOR REALTY POLICY",,1,2015
P05E0200,P05E0000,E,"(192X,192M) ACQUISITION PROGRAMS AND QUALITY BRANCH",,2,2015
P0625204,P0625200,S,"(192X,192M) FED RCRDS CTR",,3,2015
P1025114,P1020000,S,"(192X,192M) EG/WW PMO",,3,2015
P05G0200,P05G0000,G,"(192X,192M) REGIONAL COMMUNICATIONS BRANCH",,2,2015
P00H0241,P00H0000,T,"(192X,192M) 100% BILLING ACCURACY TEAM",,1,2015
P06T0001,P06T0000,T,"(192X,192M) PORTFOLIO MANAGER",,2,2015
P1121210,P1120000,M,"(192X,192M) BLDG DELEGATIONS MGMT",,2,2015
P00Q1600,P00Q0000,C,"(192X,192M) PROJ DELIVERY PROGRAMS & RESOURCE DIVISION",,1,2015
P00H0100,P00H0000,F,"(192X,192M) CHIEF INFORMATION OFFICER",,1,2015
P04M0003,P04M0000,M,"(192X,192M) ENERGY BRANCH",,2,2015
P0825115,P0820000,D,"(192X,192M) SOUTH DAKOTA FIELD",,2,2015
P00G4403,P00G0000,G,(192X) PBS SHARED APPLICATION SUPPORT,,1,2015
P0471100,P0470000,R,"(192X,192M) ACQUISITION BRANCH A",,2,2015
P00H0280,P00H0000,F,"(192X,192M) INTERNAL CONTROL&AUDIT COMP DIV",,1,2015
P00U3000,P00U0000,M,"(192X,192M) OPERATIONS & MAINTENANCE",,1,2015
P0570020,P0570000,R,"(192X,192M) CUSTOMER PROJECTS - TECHNICAL SERVICES",,2,2015
P1025124,P1020000,S,"(192X,192M) FEDERAL CENTER SOUTH  PMO",,3,2015
P04E0003,P04E0000,E,"(192X,192M) ACQUISITION POLICY BRANCH",,2,2015
P11Z0001,P11Z0000,E,"(192X,192M) PROCUREMENT MANAGEMENT DIV",,2,2015
P04G0001,P04G0000,G,"(192X,192M) ORGANIZATION RESOURCES STAFF",,2,2015
P0970004,P0970000,R,"(192X,192M) LOS ANGELES BRANCH",,2,2015
P05E0500,P05E0000,E,"(192X,192M) SOUTHERN CONTRACTING BRANCH",,2,2015
P04T0040,P04T0000,T,"(192X,192M) PRELIMINARY PLANNING",,2,2015
P00G2000,P00G0000,G,"(192X,192M) HUMAN CAP ASSET MGMT",,1,2015
P1140004,P1140000,C,"(192X,192M) ENGINEERING DIVISION",,2,2015
P00C0003,P00C0000,R,"(192X,192M) AOC DELEGATION",,1,2015
P00Q1400,P00Q0000,C,"(192X,192M) HISTORIC BUILDINGS DIVISION",,1,2015
P0010001,P0010000,A,"(192X,192M,321X) ASST REG ADMIN & STAFF",,1,2015
P0710150,P0710000,A,"(192,442) INFORMATION SERVICES & SOLUTIONS BRANCH",,2,2015
P0110001,P0110000,A,"(192X,192M,321X) REGIONAL COMMISSIONER",,2,2015
P072W0B1,P0720000,PY,"(192X,192M) TEXAS/NEW MEXICO BORDER SERVICE",,3,2015
P0310001,P0310000,A,"(192X,192M,321X) OFFICE OF THE REGIONAL COMMISSIONER",,2,2015
P0521004,P0521000,S,"(192X,192M) MICHIGAN TEAM",,2,2015
P0523004,P0523000,S,"(192X,192M) MICHIGAN TEAM",,2,2015
P0523005,P0523000,S,"(192X,192M) INDIANA/WISCON/MINN TEAM",,2,2015
P0700000,P0700000,PY,"(192X,192M) PRIOR YEAR ACTIVITIES",,2,2015
P0300000,,PY,"(192X,192M) PRIOR YEAR ACTIVITIES",,2,2015
P0620WTC,P0600WTC,S,"(192X,192M) WORLD TRADE CENTER",,2,2015
P032C000,P0320000,S,"(192X,192M) SOUTH SERVICE CENTER",,2,2015
P0525241,P0520000,S,"(192X,192M) MILWAUKEE OFFICE",,3,2015
P05H0230,P05H0000,F,"(192X,442) BUDGET FORMULATION & EXECUTION BRANCH",,2,2015
P0800000,,PY,"(192X,192M) PRIOR YEAR ACTIVITIES",,2,2015
P0525255,P0520000,S,"(192X,192M) CLARK STREET OFFICE",,3,2015
P00Q3000,P00Q0000,P00Q0000,"(192X,192M) CONST PROGRAM EXPERT",,1,2015
P0440001,P0440000,C,"(192X,192M) DESIGN AND CONSTRUCTION",,2,2015
P1122021,P1122000,S,"(192X,192M) WHITE HOUSE DISTRICT",,3,2015
P0621200,P0620000,M,"(192X,192M) OCCUPANCY ADMINISTRATION BRANCH",,2,2015
